"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,123.937677053824,123.930972778203,124.195134575569,124.850258211688,124.840573072643,124.022478166579,123.097974822113,120.494180997047,121.673003802281,120.935765265662,118.198874296435,113.836513499159,110.661246792829,110.878661087866,112.710392253864,113.141862489121,115.791505791506,117.088607594937,112.443665682279,109.340065285937,106.077778957133,107.553013852693,104.542885040341,102.440808039094,103.734439834025,110.901210265383,113.193403298351,112.440217678798,115.503637098404,115.667718191378,113.853205004672,107.594936708861,106.102635228849,110.939431396786,116.803278688525,114.971794871795,116.753645101343,118.428283644454,123.542610765616,129.506041663869,128.967442870428,129.77022977023,132.456472369417,136.814964899892,134.595431614594,129.93762993763,131.800336511497,130.293159609121,128.029263831733,133.928571428571,140.124772215873,142.448512585812,150.079030558483,146.230007616146,143.889347646573,145.085533137431,143.62193293943,146.868031527874,145.691906005222,145.87891792186,153.08831036243,157.732864674868,166.869308392813,168.774230998637,169.886363636364,168.614220795492,166.505966360057,164.86560992419,170.274024169502,173.128491620112,173.309647602542,174.552968960864,174.878993668028,178.289688642349,182.82359017868,190.846793930494,194.296477871796,191.9795221843,191.83922046285,193.047529001827,192.388269622352,192.501774771162,190.428571428571,190.012326656394,195.962367698942,201.665905606837,201.436450839329,206.882255389718
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,84.5040336154157,84.7262247838617,83.3754421424962,81.1965811965812,80.4375804375804,78.9419087136929,77.720207253886,77.7011494252874,75.1366120218579,74.8425149700599,69.1204606133104,65.786544500164,61.1644348885745,58.531746031746,56.0538116591928,53.4388139364004,54.0692089339219,51.9889840881273,52.4691358024691,56.6301425133245,57.9406631762653,58.5285848172446,58.2570228719423,56.9914540067783,55.92,60.2083333333333,61.6512345679012,62.7570958215423,66.6900913562895,68.4292205696124,67.8776290630975,68.0628272251309,69.8729582577133,70.2740688685875,74.2115027829313,75.9144598971233,76.5262252794497,77.538770821367,79.0458372310571,81.0263335584065,83.3754421424962,84.5864661654135,84.6391065830721,90.6183368869936,93.6458333333333,95.046633771237,95.6250943681111,95.3389830508475,95.5598455598456,97.0873786407767,98.8940628637951,100.290823717636,101.044474393531,102.906998231303,103.722452154989,105.492863803825,105.683084492544,106.059659090909,104.974354350744,106.201320190523,107.594470944056,109.090909090909,111.991315834141,110.373045078197,111.556139198949,112.803049952424,115.018688413184,116.660234727929,117.222222222222,117.1875,117.26427622842,116.679132385939,116.363636363636,116.116228832132,118.547062503939,119.712290502793,121.384297520661,122.442363112392,123.193277310924,125.155193992491,125.661375661376,124.956896551724,124.05929304447,124.482526234716,126.481847460108,128.987098545155,130.208333333333,132.699479621392
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3465770171149,73.6668499175371,74.0131578947368,74.8502994011976,75.8807588075881,74.7600483183928,76.1369443025038,79.1322314049587,79.3269230769231,78.7703625853915,77.7027027027027,79.2166533368879,76.6914860597925,75.0670241286863,78.6581554709988,82.0773839717048,82.4652777777778,82.6427680611613,83.5314727897848,85.4139290407359,86.4326932001603,89.0570430733411,91.0201588271228,93.7174479166667,94.0298507462687,94.0310711365495,94.2057291666667,95.5111111111111,95.6912028725314,95.4024138980955,97.0774800370183,95.8785487320906,97.8421736191793,101.070154577883,102.631142968235,102.78699402787,102.280430255981,102.198902480356,103.443666146457,104.576777985353,104.644268774704,104.449648711944
"Upper West Side","New York","NY","New York","New York",4,987.569444444444,970,989.52380952381,1004.84848484848,1001.5798902366,998.944444444444,1028.94697512725,1047.29018679295,1028.11916055771,1011.54182721486,1032.66787658802,1067.12328767123,1080.80808080808,1020.51282051282,1125,1147.95918367347,1167.6217765043,1166.73869201959,1153.84615384615,1119.15760869565,1108.22072072072,1144.31486880466,1136.92307692308,1153.58053548661,1161.60714285714,1181.05342136855,1198.96805089819,1193.73219373219,1188.44153515065,1196.72131147541,1186.22448979592,1196.72131147541,1182.00428026426,1153.84615384615,1189.38307030129,1209.15032679739,1209.15032679739,1213.38811110279,1229.38530734633,1219.43765281174,1236.14663256607,1279.36711262928,1287.33264675592,1298.13366216789,1369.76174638689,1388.88888888889,1405.36636978567,1410.62801932367,1472.22222222222,1485.71428571429,1463.19158664838,1435.46441495778,1488.66348448687,1460.9756097561,1499.76926626673,1477.39130434783,1548.27968923418,1551.72413793103,1568.75231091574,1567.37588652482,1559.93247045582,1566.77617855653,1580.77743902439,1606.02934008319,1603.49781341108,1646.0396039604,1694.30080101528,1719.20627839066,1738.30594184576,1753.81263616558,1798.85848339493,1846.93232131562,1896.30931458699,1905.22235122261,1878.43137254902,1878.41530054645,1861.01991728819,1860.87990487515,1860.18435134561,1861.25682074581,1848.94645692019,1860.46511627907,1868.68686868687,1867.42286851101,1849.83677910773,1851.85185185185,1859.02401239349,1852.88565961628
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.544614379568,412.968447523106,417.053903345725,415.384615384615,408.318380846534,396.666666666667,397.39663093415,403.587599161802,411.879877028142,421.933887041952,426.285160038797,433.097123801584,413.766403252385,416.763139615652,411.309877402638,413.715146948003,412.579408622608,423.958187126845,444.587895726002,440.47619047619,441.154836336889,442.301593899948,435.773524720893,456.25,463.934426229508,457.449310624493,473.682883831531,482.017543859649,486.089238845144,484.357754113598,489.293982747299,513.129102844639,484.839189959629,483.168827948808,481.09756097561,496.794871794872,484.534057871251,488.718107570416,482.607792466784,483.325116803609,489.403973509934,493.476234855545,504.847645429363
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.457337883959,215.311004784689,209.675366008912,214.628382370318,219.280579393916,229.663536372153,229.511108240765,232.717316906229,239.852002121363,240.715268225585,239.948119325551,242.79758996906,234.74982864976,224.137931034483,239.948119325551,249.233128834356,249.958869599392,250.739644970414,256.99558173785,254.852732234275,257.15316742948,259.121621621622,263.277249451353,265.246929160357,260.139049826188,267.595307917889,260.797897617517,263.278388278388,262.445954292773,265.594662362569,278.846153846154,279.72027972028,288.899565919774,293.911826452064,300.353356890459,299.746262376363,308.630299938204,307.485962566845,315.867887662191,316.915271154486,324.452830188679,324.452830188679
"Upper East Side","New York","NY","New York","New York",7,1015.46391752577,966.287878787879,963.809523809524,972.979126443481,1000,963.333333333333,948.805855161787,963.235294117647,935.939815342528,925,927.857142857143,919.230769230769,918.458705199037,843.75,973.639455782313,974.319727891156,961.217948717949,959.866783779827,957.065653219902,947.619047619048,958.620689655172,985.828712261245,996.552706552706,1018.51851851852,1019.82291660992,1042.85714285714,1067.51635768811,1061.94690265487,1047.21930745016,1038.46153846154,1052.94117647059,1039.998,1016.9779286927,1020.89929759435,1097.69086571234,1100.25125628141,1103.8961038961,1100,1093.07065217391,1129.14415072294,1140.59829059829,1151.56017830609,1151.15384615385,1209.82986767486,1240,1265.71428571429,1397.05882352941,1402.61437908497,1429.45984363895,1429.45984363895,1428.57142857143,1370.44925177882,1377.28125733052,1332.47935982734,1453.39652448657,1370.95543610196,1442.30769230769,1437.53121878122,1480.71182775109,1504.73949247278,1502.94695481336,1527.41134751773,1557.10738671633,1581.92747466236,1605.38545653362,1572.74590163934,1598,1580.04089368509,1638.57677902622,1669.196868019,1669.59578207381,1677.48419245425,1781.88899707887,1748.25174825175,1676.82932142785,1693.62533858656,1682.67412744647,1654.90600868046,1667.2203765227,1681.81818181818,1663.95712273288,1658.27036104114,1661.6598791664,1658.21681317363,1634.98098859316,1642.19622050328,1621.64167485671,1641.88235294118
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2421875,75.0215941465941,73.7300230148609,76.1750218799753,77.2030007837868,77.6129943502825,78.8256204922872,79.5575221238938,79.4801862928402,81.7837956711712,83.4921845215402,83.6688576818952,81.1665423627685,81.25,84.4827988338192,86.7476851851852,86.4539007092199,86.7297061919428,88.7340578453411,90.3467349676359,90.2522856649991,91.3502109704641,92.3250277765929,92.6879505664264,94.6407428903076,94.0196078431373,94.0132882421261,95.421686746988,96.2032085561497,97.0397865114022,97.9730970569581,98.3540746688077,100.860565168328,101.752947157396,103.852426301213,104.761904761905,105.491973766055,105.62302385743,106.392902408112,108.504160985076,110.469070914503,112.1648957498
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.376623376623,239.903846153846,238.353451527725,228.954081632653,243.676222596965,239.318181818182,269.687162891046,283.901811982733,279.290752351097,277.777777777778,276.315789473684,283.160036166365,286.086956521739,286.086956521739,287.168387247764,287.713841368585,289.648622981956,291.187265879024,289.699570815451,289.674096898704,298.828125,300.353356890459,299.39542844523,302.185197099673,305.053454989516,311.429585768807,311.035838242095,313.05114638448,318.100358422939,335.884353741497,335.074626865672,346.549286880149,339.878823224469,342.376979638009,347.263588979896,348.638605442177,353.6961414791,357.418445795024,356.428571428571,336.107554417414,341.864059892175,338.235294117647
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,84.1866493843163,85.3048225659691,84.9809487273369,83.9030453697949,82.9923786602487,81.3748951749811,80.6048387096774,80.1507088315594,77.6734104046243,76.4767010113889,73.6081631342546,70.9207401979669,67.7330678915544,64.0255227967939,62.4848668280872,62.2516556291391,61.639665048756,62.1660288783058,63.1172122404196,64.1831006660884,63.8790734197095,62.7985074626866,63.2490013315579,63.3581110625273,63.216679076694,66.1596107180222,68.2954623053811,69.8856865284974,72.0376175548589,74.2414219383278,72.5577203727033,74.2938178661886,75.531914893617,76.2439807383628,80.3508243174764,82.6445478640075,84.1555426581544,86.40081799591,88.3177570093458,90.6555090655509,92.5596304046359,96.1368878035545,96.0599153370238,102.781506644656,104.458688970884,105.76757556598,106.560392397302,107.041690140845,105.263157894737,106.060606060606,108.585288549976,109.154679556576,110.241326838036,112.295960771277,111.529521152952,113.349261431968,114.034649122807,114.598903836572,113.858539390454,113.924050632911,115.48733599525,117.270123132319,117.400419287212,118.85849191074,120.835870459589,121.621621621622,123.835480673935,124.134794129555,124.57254518808,124.897045014094,124.548164654494,124.941022685021,126.485568760611,128.300733496333,128.867028493894,129.965338282889,130.619224037386,131.231050900231,131.480631506985,132.278481012658,132.442076434756,132.969908416921,132.998508425328,133.507706255666,134.886406587428,136.216535433071,137.890864500307,139.046538024972
