"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04"
"Keeney","Manchester","CT","Hartford","Hartford",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259900,272400,269900,245000,249900,239900,234900,234950,234900,234950,229900,232400,247950,259900,259900,254900,244900,239200,256400,247950,274900,246900,240000,240000,262400,257400,269900,264000,247450,247400,249900,249900,249900,244900,245000,239900,267500,268250
"Klahanie","Issaquah","WA","Seattle","King",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530000,5e+05,587000,649999,630000,639500,675000,637450,605000,626500,669925,688997.5,7e+05,702995,703997.5
"Blufton","Hilton Head Island","SC","Hilton Head Island","Beaufort",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419250,479000,475000,449000,449000,469000,469900,439000,439000,447000,449000,449000,449000,449500,449000,449000,449000,439900,475000,479000,479000,469000,449000,449000,429000,435950,440000,465000
"South Wilkes-Barre","Wilkes-Barre","PA","Scranton","Luzerne",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60950,56200,55900,49000,42500,46995,49250,49900,49500,49999,52900,54900,54950,54950,55000,53900,53450,52000,52950,51900,46500,48900,44900,46000,48900,49200,46700,48900,52450,55000,54975,49900
"East Woonsocket","Woonsocket","RI","Providence","Providence",1497,159900,159900,159900,159900,169900,176500,172500,179900,172750,169900,159900,159900,159900,159900,155000,149900,149000,157000,144900,147450,149450,147500,155900,144900,144900,143931,134900,129900,129900,129900,129900,129900,129900,129900,119900,121950,131900,139900,139900,137400,144900,149400,149900,150000,149950,154950,154175,153200,139900,149450,148000,148500,148000,149900,139900,139900,139900,139900,147900,146400,145950,146400,129900,129900,129900,147450,150000,147400,149000,139900,136000,139900,132450,149000,142500,119900,136950,146900,149516,149132,149132,159450,159000,168950,169900,169900,169900,159900
"Melody Ranch","Palm Springs","CA","Riverside","Riverside",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319500,294000,299000,285000,299000,299000,299000,299000,289700,287200,297000,305000,299000,299000,294450,285000,282450
"Midtown","Palm Springs","CA","Riverside","Riverside",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317000,319000,319000,299950,298900,284900,289500,279000,255000,249000,249000,259500,259500,279000,299000,299250,289500,289250
"Andreas Hills","Palm Springs","CA","Riverside","Riverside",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485000,1399000,1395000,1395000,1349000,1350000,1372000,1395000,1395000,1450000,1375000,1412500,1319000,1299000,1312000,1295000,1284500,1284500
"Baristo","Palm Springs","CA","Riverside","Riverside",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259000,272500,288450,286400,239000,238000,259900,284900,254900,264000,264000,256950,256950,264000,277000,279000,279900,279900,279900,254925
"Canyon Corridor","Palm Springs","CA","Riverside","Riverside",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298000,287500,298000,278500,277000,266497.5,259900,231950,249900,274000,269900,269900,267450,265000,269000,264450,249900,259900,247450
