"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,204900,199925,219950,219900,220000,225000,219950,219000,229000,219900,209500,199100,194900,198500,204900,209400,219000,218500,199900,195000,189900,199000,189925,189000,190000,199625,199500,194900,199900,209000,203950,189000,187200,194000,215000,209000,210000,223900,239000,245000,249000,249900,245000,249900,239900,239250,243450,253900,249900,250000,269900,275000,286500,279900,275000,284000,274900,279900,269900,267000,289000,3e+05,324900,320000,330000,334000,325000,315900,333750,339900,344999.5,339250,339000,349000,349999,369000,374990,374700,379000,374945,375000,375000,374990,365000,380000,398500,399000,399900
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,152900,154900,154900,150000,155000,157000,159000,159900,165000,164900,169000,170000,174000,169900,174900,175000,179999,185000,185000,185000,189900,189900,190000,189990,194900,197500,195500,195500,195000,194900,199000,199900,209000,209900,215000,219000,218800,210000,213000,218888,219900,224900,229000
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,99999,1e+05,106000,109900,109900,110000,115000,117500,114900,112000,112000,110000,105000,112000,115000,117900,120000,120000,125000,125000,129900,129900,129900,130000,134900,135000,137900,138500,137750,139900,139900,145000,149900,149900,149999,149850,149900,149900,150000,154900,156900
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,1095000,1075000,1045000,1055000,995000,975000,1049000,999000,1025000,1095000,1075000,1095000,1080000,1095000,1095000,1145000,1100000,1125000,1095000,1125000,1192500,1195000,1295000,1265000,1199000,1250000,1275000,1295000,1395000,1250000,1300000,1375000,1400000,1450000,1396500,1450000,1450000,1500000,1537500,1595000,1670000,1727500,1750000,1699000,1760000,1802500,2e+06,1995000,1820000,1907500,1822500,1795000,1849000,1850000,1800000,1803750,1850000,1822500,1780000,1835000,1850000,1895000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798000,799450,799000,774975,720000,710000,710000,729000,749000,757500,775000,722500,715000,764500,773000,785500,804500,892000,889000,849000,799999.5,799000,849000,899000,899000,950000,998875,979000,935000,992500,999000,995000,998999,949499.5,918500,899950,939000,929450,899900,959500,939000,899000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,285000,265000,277450,285000,299000,295000,299000,305000,305000,299000,299900,299000,280000,305000,310000,315000,325000,327500,325000,325500,325000,329000,329000,331999,335000,335000,336000,340000,349945,350000,356500,369000,365000,370000,375000,379950,379000,380000,385000,399900,399999.5
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000,1085000,1049000,1095000,1049000,995950,1079000,1095000,1192500,1200000,1195000,1150000,1170000,1195000,1175000,1195000,1185000,1200000,1245000,1299000,1395000,1395000,1450000,1399000,1400000,1395000,1369000,1350000,1450000,1350000,1440000,1550000,1599000,1625000,1649000,1650000,1695000,1695000,1690000,1605000,1595000,1595000,1699500,1795000,1775000,1799000,1975000,1995000,1795000,1875000,1795000,1750000,1749000,1749000,1712500,1715000,1750000,1750000,1750000,1795000,1750000,1779000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000,110000,105700,109900,113500,114375,114990,116200,117950,124900,125000,128000,119000,117750,122700,125000,125000,125000,130000,135000,134999.5,137750,139900,136950,137500,139700,137900,140000,140000,144925,145000,149900,151200,155000,155000,158000,159900,159900,160000,165000,169999,173000
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358000,369000,399000,365000,372499.5,360000,337000,359999,365000,360000,365000,389000,419500,422500,419000,439000,399000,439000,397000,425000,439000,434000,447000,454500,449000,449999.5,449000,439999,445000,464500,509500,499000,525000,520000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,154900,159450,160000,149850,174350,179500,180000,180000,180000,174900,170000,179900,180000,179400,185950,180000,199900,199999,2e+05,2e+05,199900,214370,220000,220000,230000,235000,231990,239000,234945,235000,239900,239900,244000,241450,239994.5,245000,243000,249900,254900,255000,259000,260000,259999.5,264900,264350,265000,270000,272500,275000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239950,244450,240000,239900,239925,249900,249000,249000,259800,259400,257000,255000,255000,249000,265000,270000,275000,266060,265000,269000,270000,283000,287975,290000,293000,299000,299000,299000,299000,299000,299900,299000,315000,319000,325000,320000,319950,325000,325000,325500,333425,333425
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,275000,265000,265000,275000,280000,283000,287900,289000,289000,285000,286000,282000,283900,297500,299900,299999.5,3e+05,309990,309900,299999,319900,319899,313650,315900,309000,314800,314995,315000,330000,330000,329000,329000,324900,319900,320000,324900,324003,319900,319500,320000,325000
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189500,188000,184900,187338.5,188500,191745,199700,199500,199800,195000,199900,209900,202000,196925,2e+05,210000,210000,215000,219900,219900,210900,220000,220000,221950,225000,220000,219900,224900,226000,229000,230000,237650,232000,229900,230000,235000,235000,235000,235000,235000,235000,240000
"Washington Heights","New York","NY","New York","New York",14,342000,362000,347000,355000,362000,364000,372000,364500,369000,359000,389000,389500,399000,352250,349250,349000,360000,360000,360000,329000,347000,345000,340000,334500,327000,329000,329000,339995,345000,312500,322500,3e+05,315000,325000,349000,349000,349250,349000,349750,369000,359000,354500,365000,380000,369000,389000,369750,389000,415000,424900,436500,429000,435000,450000,485000,444000,495000,449950,478500,498000,495000,487500,499000,479000,499000,499000,499500,495000,472000,469000,485000,499250,515000,519000,529500,549250,549500,550000,550000,554500,544000,559000,565000,549500,549500,561000,567500,565000
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399950,399000,446250,440245,449000,469000,474950,469475,459000,456893,439282,454500,467500,471200,466950,479900,492900,498900,499900,495000,495000,494900,499999.5,5e+05,517000,499000
"Astoria","New York","NY","New York","Queens",16,,,,,,,,,,,,,,,,,315000,345580,348790,399000,415250,415250,425000,415250,425000,429000,425000,395000,392000,388000,379000,369000,390000,399000,457000,465000,449000,450000,449000,427000,420000,415000,449000,449000,449000,454500,464500,449000,449000,429000,474950,469000,477000,495000,509500,519500,520000,530000,522500,535000,540000,535000,550000,565000,599000,605000,649000,637500,678020,688000,680000,669000,650000,665000,599000,639000,650000,669000,689500,699000,675000,690000,682000,677000,659500,635000,635000,640000
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,150000,152500,151000,154500,154900,154900,157990,156899,159000,159900,159000,149900,148975,156700,160000,164900,169900,172900,175000,175000,175000,175000,179850,175000,174900,177750,175000,185000,185000,189250,189000,190000,194900,190000,190000,190000,189990,195900,199000,199000,205000
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",18,239000,243000,244950,258950,255950,254900,249900,249500,248200,244900,244000,234900,229000,225000,228000,239900,239900,240000,237557,236013.5,228400,229900,225000,219700,219600,229900,234000,244000,245000,245000,249416.5,245900,239900,244800,265000,249000,249000,259000,274440,278950,289000,299000,299000,3e+05,289900,299000,299900,299000,295000,3e+05,310000,319450,325000,325000,330000,343450,320000,324900,332450,335000,349450,349450,350000,350000,357000,368700,350000,342750,355000,359900,369000,374700,389500,399900,419000,398500,395000,395000,389450,385000,389900,386500,395000,389000,399900,425000,432500,449900
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000,577000,612000,599000,645000,645000,650000,698000,705910,676000,669000,699000,705945,719000,746995,734990,737245,722000,699900,699900,731995,729000,725000,799000,812495,849000,849000,819990,755000,749000,729000,745000,779000,799000,777000,750000,749999.5,735000,742000,762250,829900,775000
"Williamsburg","New York","NY","New York","Kings",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295000,1295000,1221000,1190000,1175000,1180000,1199000,1200000,1215000,1135000,1150000,1250000,1200000,1199000,1195000,1117550,1100000,1110000,1129000,1150000,1095000,1099000,1121275,1100000,1097000
"East Side","El Paso","TX","El Paso","El Paso",21,135000,134999.5,135000,135000,136770,138000,137500,139900,139950,140000,147900,145000,139900,139900,134950,134880,139835,145000,142000,140000,139900,139724,138700,139770,139500,137000,143000,144000,139950,139950,139900,139250,136000,136999.5,141518.5,141518.5,137680,139995,139900,142850,144000,140000,140000,144400,141400,139900,139000,139000,139900,140000,142000,145000,143500,144900,142000,139925,139835,135650,134900,135250,132999,135000,137999,139000,139950,138499.5,139000,139900,139950,140000,141900,138900,138950,140000,139999,143687.5,145950,145000,146500,144900,146900,149900,149500,149950,149950,149950,149974.5,150000
"Camelback East","Phoenix","AZ","Phoenix","Maricopa",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299000,295750,304200,324900,324900,320000,319000,318200,325000,329000,334998,329000,325000,335000,349900,349000,344000,360000,359500,339000,365000,375000,365000,375000,379500,399000,396000,392000,399900,399000,396000,389900,380000,385374,417000,419500,409900,409450,420000,449900,438000
"Alhambra","Phoenix","AZ","Phoenix","Maricopa",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,125000,125500,129900,129900,135000,135000,138500,139900,140000,154000,149900,146900,141690,154000,159000,164387.5,175000,176900,170000,172000,168000,169900,171450,174999,174900,179900,184900,184900,185000,189900,185500,185000,187900,194900,189900,184950,184900,189000,194900,199000,200204
"Flatbush","New York","NY","New York","Kings",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525000,499000,525000,499000,480000,450000,425000,480000,475000,449000,425000,454500,450000,447000,482500,479000,449000,449500,469000,456000,469000,445000,482250,479000,479250,479250,492000,539000,521500,516500
"Crown Heights","New York","NY","New York","Kings",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000,725000,729500,750000,760000,775000,790000,799000,850000,999000,982000,991015,982000,975000,995000,995000,982000,999000,982000,995000,945000,899000,879500
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67000,68000,62000,57000,65000,74900,74900,72000,73000,75000,77500,75000,69900,75000,76107,80000,83000,88500,87300,89999.5,89900,93000,96750,98500,99900,1e+05,99999,99999,109825,105000,105000,105000,109450,108000,107500,106250,110000,110000,113300,115000,119900,124900
"Jamaica","New York","NY","New York","Queens",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,339000,329000,339000,339000,339000,339000,335495,345000,349000,349900,345000,340000,357000,376388.5,389000,389000,383508,389000,399000,390000,389000,389999,399000,395000,399000,419000,424999,425000,424999.5,429000,429000,429000,429999,439000,439450,449999,459000,459000,459000,459000,455000
"Harlem","New York","NY","New York","New York",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000,730000,780000,820000,787000,720000,775000,795000,827500,884000,895000,897000,820000,841975,790000,887000,825000,899000,876000,849000,878000,875000,849500,820000,837000,955000,984500,992000
"Williamsbridge","New York","NY","New York","Bronx",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343000,359000,399000,419000,399000,399000,349000,349500,350000,359500,360000,350000,329500,319000,339500,374499.5,389000,389000,389000,399000,395000,399000,389000,379000,379000,379000,385000,385000,385000,360000,379000,379000,380000,387000,383500,389000,387000,399000,399000,392000,385000,377000
"East Harlem","New York","NY","New York","New York",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795000,785000,692500,778800,795000,800800,840000,775000,795000,787500,732500,699000,699000,696500,775000,777500,838000,856500,9e+05,9e+05,799000,821250,858725,850000,799000,795587,799000,795293.5,788400,799000,730000,742500,750000,775000,755000,788700,775750,795000,775000,799500,795000,867450,849000
"Bushwick","New York","NY","New York","Kings",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747500,799000,799500,877000,759500,849000,850000,877000,899000,879000,949000,9e+05,899000,899000,899000,899000,899000,939000,995000,1e+06,1050000,1e+06,1050000,999000,999000,938000,949499.5,975000,982500,989000,979500,954500,937000
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e+05,610000,625000,629900,625000,615000,599000,589000,588000,575000,569000,559900,579000,595000,595000,590000,591500,6e+05,599000,599250,6e+05,625000,599900,610000,625000,635000,639000,637000,615000,642450,629900,634450,625000,639000,624900,611995,615000,630000,638000,650000,669900,679000,685000,678750
"East Flatbush","New York","NY","New York","Kings",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,409000,399000,399000,399000,422000,425000,429500,445000,439000,445000,439000,428500,439000,449450,465000,479000,475000,479000,470000,469000,459000,459950,469000,459000,482000,479000,479000,499000,499000,519000,499000,520000,525000,519500,519000,515000,525000,537000,549000,549499.5,535000
"Enterprise","Las Vegas","NV","Las Vegas","Clark",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208490,210000,211750,210000,212950,220000,219990,221495,229900,229000,229900,230000,232000,229900,229968.5,230939,235000,239900,248000,255000,250000,253950,255000,255000,255000,260000,259900,260000,250000,264900,268245,274900,279000,281500,282947,289990,287500,290000,290000,294900,297150,298740,304950
"East San Jose","San Jose","CA","San Jose","Santa Clara",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475000,479000,477000,489725,488000,480000,488000,489888,495000,498444,499000,489000,489000,484350,495000,519975,549868,548500,549000,549000,548000,549000,550000,549944,550000,549250,550000,549999.5,539000,548000,549999.5,585000,599000,599000,599534,598000,589000,599000,620000,625000,625000,627000
"South Mountain","Phoenix","AZ","Phoenix","Maricopa",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154900,154800,149999,150400,154700,150000,159900,159900,165000,168500,169500,169999.5,160500,155000,164200,170000,175000,173750,175000,178750,180000,179900,180125,179999,179500,175000,183000,175000,175000,174329,174900,175000,179900,189900,189900,189250,185000,180000,179950,199000,198000,199900
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,125900,119900,119600,124400,129900,129500,133000,133000,129900,135000,135000,119900,124000,122176,124950,129000,139000,131750,139000,132750,127700,118000,115000,118000,114250,114900,115000,111700,124900,126650,134900,134900,131750,133900,130900,130000,129900,119950,124900,129900,137900
"Sunset Park","New York","NY","New York","Kings",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349000,349000,370000,389000,449000,410000,389000,389000,389000,389000,389000,389000,389000,4e+05,4e+05,414000,427000,450000,450000,475000,497000,499000,499000,488500,550000,550000,540000,528500,519000,5e+05,540000,534500,560000,572000,569000,569000,568500,555000,550000,564000,575000,589000
"Concourse","New York","NY","New York","Bronx",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,199250,225000,227000,225000,207000,209000,207000,209000,225000,227000,225000,225000,222000,239000,229000,259000,279000
"South Side","Corpus Christi","TX","Corpus Christi","Nueces",40,165000,162000,164500,162900,164900,165000,160705,159949.5,163900,161155,164330,159950,159900,164165,164999,164082.5,164527.5,164900,159900,159900,159900,159900,159000,159999,159900,157900,152500,159900,159900,159900,149999.5,149900,149900,147750,154900,158200,154900,159500,159900,162900,172250,176950,176499,177950,176900,178450,181450,188200,184500,188450,187500,209900,204450,214000,210700,213900,204900,198900,199900,206325,215000,215873,221000,202450,205000,205000,199900,205000,205000,204900,205000,205000,209900,207000,209999,214500,214900,208950,209900,202000,205450,209900,205000,202900,205000,209900,209900,209900
"North Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000,434499.5,439000,442640,443430,459950,465000,469444,469944,479450,470000,459000,469000,439250,452000,479000,464900,499000,512500,529000,499900,519000,518500,549900,525000,525000,549000,549995,550000,545000,538000,535000,538000,519000,549000,549000,539900,540000,544500,539500,577000,577500
"Alief","Houston","TX","Houston","Harris",42,74900,75000,75000,80000,78750,79662.5,79000,79990,82600,82900,80000,79990,76900,75000,74500,75000,74999.5,72000,69900,67900,65000,65900,68150,69900,69000,67700,68300,65000,65000,65000,66750,74000,69900,67900,69900,69900,71000,73200,72250,74500,73657.5,77000,79500,82800,84325,84900,89900,88988,87500,89000,88500,85000,89000,99450,103975,110000,1e+05,107000,1e+05,99999,98500,99995,108000,103990,109900,108000,109900,110000,122000,125000,118000,126500,128000,125250,126750,127000,124449.5,123949.5,125000,128000,129350,130000,130000,125000,130000,130000,130000,135000
"Elmhurst","New York","NY","New York","Queens",43,349000,349000,299000,299000,278000,261500,269000,299000,299000,299000,289000,296000,292700,279000,288700,269000,283999.5,295000,289400,289000,268500,255000,289000,311100,310550,308700,270000,269000,249999,278944,268000,285000,269000,264000,279000,269000,269000,269000,240000,245000,245000,245000,245000,275000,279000,278000,273500,278000,259500,268000,259000,259000,268000,268000,289000,268000,268000,290000,305000,317500,322500,299000,320000,3e+05,325000,345000,348000,375000,370000,398000,382500,375000,385000,380000,380000,360000,339000,359888,377500,402500,426500,429000,429500,378000,385000,408500,399000,385000
"Bullard","Fresno","CA","Fresno","Fresno",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269000,258000,279000,285000,284900,284900,285250,276850,273300,279000,279000,279000,269500,269250,279000,270000,264700,272000,269950,275000,279000,268950,259900,259000,259900,269000,269900,269900,274900,279700,274000,279700,275000,275000,275000,274900,284838.5,282338.5,260505.5,279900,289950
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699999,739500,679900,714499.5,749000,749000,699000,699450,745000,715000,747000,699900,683400,676000,698000,744000,769500,759499.5,789500,797000,749000,739000,749900,784000,749900,749950,750000,773950,750000,749900,769900,779450,799000,799000,784500,799500,830900,830900,850000,856250,898744.5,950000
"Bensonhurst","New York","NY","New York","Kings",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479000,529000,547000,489000,547000,565000,557000,596500,629000,599000,629000,634000,653500,650000,659000,640000,688500,724000,724000,735000,730000,729500,729500,753000,709000,721500,699000,689000,693500,699000,749000,688000,650000,738000,729000,739000,650000,647000,669000,718500,725000,718000
"Central City","Corpus Christi","TX","Corpus Christi","Nueces",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74900,73500,69000,70000,69900,74500,75000,79900,79949.5,78000,80000,83900,79999,75000,74450,79900,79900,79900,79900,82900,84900,89000,84949.5,84500,89000,88700,88000,85500,89900,89000,89900,89900,92900,89900,92900,94900,94700,89450,94900,94450,89900,93000,93500,96750
"Northeast","El Paso","TX","El Paso","El Paso",48,112950,114500,114950,114250,110000,110000,109000,109900,105000,103950,102950,102800,105000,105950,105000,105000,108950,107900,105950,107000,106950,105225,105000,103950,104999.5,105000,108000,107950,107625,108000,107950,105950,106000,104500,107000,108000,109500,109250,108775,109000,109500,110000,108000,109000,108000,107000,105000,102000,99950,99900,99250,98900,99900,102900,102900,101500,105000,1e+05,99900,99900,99900,99975,105000,106999,107000,109000,109825,109770,103495,102500,104000,104950,105000,105000,108500,111500,108000,105000,104947.5,105000,105000,105000,105000,104900,104900,104950,107000,107000
"Southwest Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123950,129900,118000,118000,124900,129450,125000,132500,134950,139900,144900,134900,125000,129900,139450,142750,134500,138600,143000,149900,143000,149400,150000,152700,155000,149450,148900,139900,149950,159900,165000,174000,170000,169990,169900,177450,179950,166750,176000,194950,199000,197900
"Koreatown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539000,499000,477000,494450,523345,499000,514500,489900,550000,534000,498500,499000,476750,439000,488000,499000,585000,588500,569000,539500,539000,552450,545000,549000,579000,595000,582999,599000,597000,589000,595000,589000,597000,579000,580000,609000,697000,697000,689000,694450,724950,748000
"Westlake","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465000,480000,517000,517500,507499.5,495000,425500,435000,454500,442000,414000,429000,429000,434000,492000,499000,499000,489000,439900,481500,399000,444950,469000,450000,484000,484000,492000,483500,470000,495000,499000,499000,545000,579000,577000,619800,651300,650000,626900,638450,645450,648900
"West San Jose","San Jose","CA","San Jose","Santa Clara",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798000,799000,789000,789450,775000,762000,769000,764475,777888,775000,849000,799000,848000,863000,879000,878000,890000,888000,849999,849999,939000,899450,990000,929000,943900,988500,998000,992000,999000,999000,1010000,1034000,999919,991944,1028944,1115000,1128444,1095000,1080000,1098975,998944,1090000,1099500,1099949,1098000,1100000,1059000,1144419,1150000
"East","Arlington","TX","Dallas-Fort Worth","Tarrant",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89700,89700,92500,96500,96750,97500,99900,92000,103750,105000,103400,95250,85000,88900,92000,95000,95000,95000,99500,101500,110500,115000,115000,119500,114900,117900,119450,118500,119900,115000,121250,120000,119000,124900,119250,120000,124000,125000,125000,125000,129900,137000
"North Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000,315000,310000,319450,324250,319000,320000,319900,325000,329900,322500,329900,324900,325000,325000,340000,340000,340000,345000,334000,338000,349900,350000,349950,349950,355000,359900,374900,374950,374900,379450,379000,384999,395000,397000,399000,385000,389000,379000,395000,404900,417800
"Lower East Side","New York","NY","New York","New York",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170000,1152500,1190000,1250000,1165000,1200000,1200000,1150000,1175000,1150000,1250000,1275000,1360000,1375000,1403500,1538000,1538000,1525000
"Canarsie","New York","NY","New York","Kings",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,399000,399000,399000,389000,395000,399000,399000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,377000,375000,370500,377000,430000,429900,439499.5,429000,439000,429999,420000,420000,418800,419499.5,429000,429450,429000,420000,424500
"Northwest","El Paso","TX","El Paso","El Paso",57,225000,225000,225000,225000,229000,229304,229900,229000,229900,229900,229900,229000,225000,225000,228750,226000,225000,229900,229500,229000,225000,219900,219950,225000,229000,225000,234000,233200,236950,232249.5,234900,230000,233950,225500,229999.5,227500,229500,229250,234841.5,239250,235000,235864,235200,235000,234950,235000,233450,231490,228520,229950,232000,235300,230450,229950,229900,227000,228750,225000,224844,223475,219950,219175,219998,224225,225880,225000,222250,223250,224950,225000,227000,225000,225000,225000,229900,233950,238895,234950,235000,238685,236519,235000,233975,235000,234000,234900,231700,234500
"Southeast","Arlington","TX","Dallas-Fort Worth","Tarrant",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144815,139900,138500,139949.5,136800,139250,139500,139950,142500,141500,139900,140000,139950,139000,129900,137400,139900,149900,150000,149900,154000,155600,165000,165000,164500,160000,160000,159900,164950,165000,160000,169250,173450,174900,172500,172500,175000,175000,173950,175000,175000,176750,183000,184900
"Logan Square","Chicago","IL","Chicago","Cook",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299450,289900,299900,309900,315000,299900,299000,279900,272895,289900,289900,299900,319000,299900,322450,315000,299900,299900,324950,329900,328000,324900,327000,384900,399900,399000,375000,375000,387000,394700,399000,399000,419000,446450,450000,449000,447000,419000,409950
"Preston Hollow","Dallas","TX","Dallas-Fort Worth","Dallas",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376500,376000,387500,382450,367000,370000,374900,360000,379000,373950,367000,369900,399999,425000,426000,450000,450000,450000,425000,385000,399900,429000,425000,449900,457900,450000,450000,429000,429000,483950,495000,469000,450000,449000,449900,485881,509980,504500,515450,518000,525000,549000,577500,585000,544000,499900,539900,554000,599000
"South Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286000,289000,289000,284700,285000,285000,289900,289000,285000,284786.5,295000,292000,289900,289900,292000,290000,293990,294949.5,299900,299900,299000,319900,325000,329900,329250,326750,325000,335000,333000,335062,339000,335000,339975,339900,342250,340000,349000,349900,350000,357650,357300,359000
